microorganism;antibiotic
(unknown Gram-positives);Aztreonam
(unknown Gram-positives);Colistin
(unknown Gram-positives);Nalidixic acid
(unknown Gram-positives);Polymyxin B
(unknown Gram-positives);Temocillin
(unknown anaerobic Gram-positives);Aztreonam
(unknown anaerobic Gram-positives);Colistin
(unknown anaerobic Gram-positives);Nalidixic acid
(unknown anaerobic Gram-positives);Polymyxin B
(unknown anaerobic Gram-positives);Temocillin
Abiotrophia;Aztreonam
Abiotrophia;Colistin
Abiotrophia;Nalidixic acid
Abiotrophia;Polymyxin B
Abiotrophia;Temocillin
Abiotrophia adiacens;Aztreonam
Abiotrophia adiacens;Colistin
Abiotrophia adiacens;Nalidixic acid
Abiotrophia adiacens;Polymyxin B
Abiotrophia adiacens;Temocillin
Abiotrophia balaenopterae;Aztreonam
Abiotrophia balaenopterae;Colistin
Abiotrophia balaenopterae;Nalidixic acid
Abiotrophia balaenopterae;Polymyxin B
Abiotrophia balaenopterae;Temocillin
Abiotrophia defectiva;Aztreonam
Abiotrophia defectiva;Colistin
Abiotrophia defectiva;Nalidixic acid
Abiotrophia defectiva;Polymyxin B
Abiotrophia defectiva;Temocillin
Abiotrophia defectivus;Aztreonam
Abiotrophia defectivus;Colistin
Abiotrophia defectivus;Nalidixic acid
Abiotrophia defectivus;Polymyxin B
Abiotrophia defectivus;Temocillin
Abiotrophia elegans;Aztreonam
Abiotrophia elegans;Colistin
Abiotrophia elegans;Nalidixic acid
Abiotrophia elegans;Polymyxin B
Abiotrophia elegans;Temocillin
Abiotrophia massiliensis;Aztreonam
Abiotrophia massiliensis;Colistin
Abiotrophia massiliensis;Nalidixic acid
Abiotrophia massiliensis;Polymyxin B
Abiotrophia massiliensis;Temocillin
Absicoccus;Aztreonam
Absicoccus;Colistin
Absicoccus;Nalidixic acid
Absicoccus;Polymyxin B
Absicoccus;Temocillin
Absicoccus porci;Aztreonam
Absicoccus porci;Colistin
Absicoccus porci;Nalidixic acid
Absicoccus porci;Polymyxin B
Absicoccus porci;Temocillin
Absiella;Aztreonam
Absiella;Colistin
Absiella;Nalidixic acid
Absiella;Polymyxin B
Absiella;Temocillin
Absiella argi;Aztreonam
Absiella argi;Colistin
Absiella argi;Nalidixic acid
Absiella argi;Polymyxin B
Absiella argi;Temocillin
Abyssicoccus;Aztreonam
Abyssicoccus;Colistin
Abyssicoccus;Nalidixic acid
Abyssicoccus;Polymyxin B
Abyssicoccus;Temocillin
Abyssicoccus albus;Aztreonam
Abyssicoccus albus;Colistin
Abyssicoccus albus;Nalidixic acid
Abyssicoccus albus;Polymyxin B
Abyssicoccus albus;Temocillin
Abyssicoccus indicus;Aztreonam
Abyssicoccus indicus;Colistin
Abyssicoccus indicus;Nalidixic acid
Abyssicoccus indicus;Polymyxin B
Abyssicoccus indicus;Temocillin
Abyssivirga;Aztreonam
Abyssivirga;Colistin
Abyssivirga;Nalidixic acid
Abyssivirga;Polymyxin B
Abyssivirga;Temocillin
Abyssivirga alkaniphila;Aztreonam
Abyssivirga alkaniphila;Colistin
Abyssivirga alkaniphila;Nalidixic acid
Abyssivirga alkaniphila;Polymyxin B
Abyssivirga alkaniphila;Temocillin
Acaricomes;Aztreonam
Acaricomes;Colistin
Acaricomes;Nalidixic acid
Acaricomes;Polymyxin B
Acaricomes;Temocillin
Acaricomes phytoseiuli;Aztreonam
Acaricomes phytoseiuli;Colistin
Acaricomes phytoseiuli;Nalidixic acid
Acaricomes phytoseiuli;Polymyxin B
Acaricomes phytoseiuli;Temocillin
Acerihabitans;Acetylmidecamycin
Acerihabitans;Acetylspiramycin
Acerihabitans;Avoparcin
Acerihabitans;Azithromycin
Acerihabitans;Benzylpenicillin
Acerihabitans;Bleomycin
Acerihabitans;Cadazolid
Acerihabitans;Clarithromycin
Acerihabitans;Clindamycin
Acerihabitans;Cycloserine
Acerihabitans;Dalbavancin
Acerihabitans;Dirithromycin
Acerihabitans;Erythromycin
Acerihabitans;Flurithromycin
Acerihabitans;Fusidic acid
Acerihabitans;Gamithromycin
Acerihabitans;Josamycin
Acerihabitans;Kitasamycin
Acerihabitans;Lincomycin
Acerihabitans;Linezolid
Acerihabitans;Meleumycin
Acerihabitans;Midecamycin
Acerihabitans;Miocamycin
Acerihabitans;Nafithromycin
Acerihabitans;Norvancomycin
Acerihabitans;Oleandomycin
Acerihabitans;Oritavancin
Acerihabitans;Pirlimycin
Acerihabitans;Pristinamycin
Acerihabitans;Quinupristin/dalfopristin
Acerihabitans;Ramoplanin
Acerihabitans;Rifampicin
Acerihabitans;Rokitamycin
Acerihabitans;Roxithromycin
Acerihabitans;Solithromycin
Acerihabitans;Spiramycin
Acerihabitans;Tedizolid
Acerihabitans;Teicoplanin
Acerihabitans;Telavancin
Acerihabitans;Telithromycin
Acerihabitans;Thiacetazone
Acerihabitans;Tildipirosin
Acerihabitans;Tilmicosin
Acerihabitans;Troleandomycin
Acerihabitans;Tulathromycin
Acerihabitans;Tylosin
Acerihabitans;Tylvalosin
Acerihabitans;Vancomycin
Acerihabitans arboris;Acetylmidecamycin
Acerihabitans arboris;Acetylspiramycin
Acerihabitans arboris;Avoparcin
Acerihabitans arboris;Azithromycin
Acerihabitans arboris;Benzylpenicillin
Acerihabitans arboris;Bleomycin
Acerihabitans arboris;Cadazolid
Acerihabitans arboris;Clarithromycin
Acerihabitans arboris;Clindamycin
Acerihabitans arboris;Cycloserine
Acerihabitans arboris;Dalbavancin
Acerihabitans arboris;Dirithromycin
Acerihabitans arboris;Erythromycin
Acerihabitans arboris;Flurithromycin
Acerihabitans arboris;Fusidic acid
Acerihabitans arboris;Gamithromycin
Acerihabitans arboris;Josamycin
Acerihabitans arboris;Kitasamycin
Acerihabitans arboris;Lincomycin
Acerihabitans arboris;Linezolid
Acerihabitans arboris;Meleumycin
Acerihabitans arboris;Midecamycin
Acerihabitans arboris;Miocamycin
Acerihabitans arboris;Nafithromycin
Acerihabitans arboris;Norvancomycin
Acerihabitans arboris;Oleandomycin
Acerihabitans arboris;Oritavancin
Acerihabitans arboris;Pirlimycin
Acerihabitans arboris;Pristinamycin
Acerihabitans arboris;Quinupristin/dalfopristin
Acerihabitans arboris;Ramoplanin
Acerihabitans arboris;Rifampicin
Acerihabitans arboris;Rokitamycin
Acerihabitans arboris;Roxithromycin
Acerihabitans arboris;Solithromycin
Acerihabitans arboris;Spiramycin
Acerihabitans arboris;Tedizolid
Acerihabitans arboris;Teicoplanin
Acerihabitans arboris;Telavancin
Acerihabitans arboris;Telithromycin
Acerihabitans arboris;Thiacetazone
Acerihabitans arboris;Tildipirosin
Acerihabitans arboris;Tilmicosin
Acerihabitans arboris;Troleandomycin
Acerihabitans arboris;Tulathromycin
Acerihabitans arboris;Tylosin
Acerihabitans arboris;Tylvalosin
Acerihabitans arboris;Vancomycin
Acetanaerobacterium;Aztreonam
Acetanaerobacterium;Colistin
Acetanaerobacterium;Nalidixic acid
Acetanaerobacterium;Polymyxin B
Acetanaerobacterium;Temocillin
Acetanaerobacterium elongatum;Aztreonam
Acetanaerobacterium elongatum;Colistin
Acetanaerobacterium elongatum;Nalidixic acid
Acetanaerobacterium elongatum;Polymyxin B
Acetanaerobacterium elongatum;Temocillin
Acetatifactor;Aztreonam
Acetatifactor;Colistin
Acetatifactor;Nalidixic acid
Acetatifactor;Polymyxin B
Acetatifactor;Temocillin
Acetatifactor aquisgranensis;Aztreonam
Acetatifactor aquisgranensis;Colistin
Acetatifactor aquisgranensis;Nalidixic acid
Acetatifactor aquisgranensis;Polymyxin B
Acetatifactor aquisgranensis;Temocillin
Acetatifactor intestinalis;Aztreonam
Acetatifactor intestinalis;Colistin
Acetatifactor intestinalis;Nalidixic acid
Acetatifactor intestinalis;Polymyxin B
Acetatifactor intestinalis;Temocillin
Acetatifactor muris;Aztreonam
Acetatifactor muris;Colistin
Acetatifactor muris;Nalidixic acid
Acetatifactor muris;Polymyxin B
Acetatifactor muris;Temocillin
Acetatifactor stercoripullorum;Aztreonam
Acetatifactor stercoripullorum;Colistin
Acetatifactor stercoripullorum;Nalidixic acid
Acetatifactor stercoripullorum;Polymyxin B
Acetatifactor stercoripullorum;Temocillin
Aceticella;Aztreonam
Aceticella;Colistin
Aceticella;Nalidixic acid
Aceticella;Polymyxin B
Aceticella;Temocillin
Aceticella autotrophica;Aztreonam
Aceticella autotrophica;Colistin
Aceticella autotrophica;Nalidixic acid
Aceticella autotrophica;Polymyxin B
Aceticella autotrophica;Temocillin
Acetilactobacillus;Aztreonam
Acetilactobacillus;Colistin
Acetilactobacillus;Nalidixic acid
Acetilactobacillus;Polymyxin B
Acetilactobacillus;Temocillin
Acetilactobacillus jinshanensis;Aztreonam
Acetilactobacillus jinshanensis;Colistin
Acetilactobacillus jinshanensis;Nalidixic acid
Acetilactobacillus jinshanensis;Polymyxin B
Acetilactobacillus jinshanensis;Temocillin
Acetitomaculum;Aztreonam
Acetitomaculum;Colistin
Acetitomaculum;Nalidixic acid
Acetitomaculum;Polymyxin B
Acetitomaculum;Temocillin
Acetitomaculum ruminis;Aztreonam
Acetitomaculum ruminis;Colistin
Acetitomaculum ruminis;Nalidixic acid
Acetitomaculum ruminis;Polymyxin B
Acetitomaculum ruminis;Temocillin
Acetivibrio;Aztreonam
Acetivibrio;Colistin
Acetivibrio;Nalidixic acid
Acetivibrio;Polymyxin B
Acetivibrio;Temocillin
Acetivibrio aldrichii;Aztreonam
Acetivibrio aldrichii;Colistin
Acetivibrio aldrichii;Nalidixic acid
Acetivibrio aldrichii;Polymyxin B
Acetivibrio aldrichii;Temocillin
Acetivibrio alkalicellulosi;Aztreonam
Acetivibrio alkalicellulosi;Colistin
Acetivibrio alkalicellulosi;Nalidixic acid
Acetivibrio alkalicellulosi;Polymyxin B
Acetivibrio alkalicellulosi;Temocillin
Acetivibrio cellulolyticus;Aztreonam
Acetivibrio cellulolyticus;Colistin
Acetivibrio cellulolyticus;Nalidixic acid
Acetivibrio cellulolyticus;Polymyxin B
Acetivibrio cellulolyticus;Temocillin
Acetivibrio cellulosolvens;Aztreonam
Acetivibrio cellulosolvens;Colistin
Acetivibrio cellulosolvens;Nalidixic acid
Acetivibrio cellulosolvens;Polymyxin B
Acetivibrio cellulosolvens;Temocillin
Acetivibrio clariflavus;Aztreonam
Acetivibrio clariflavus;Colistin
Acetivibrio clariflavus;Nalidixic acid
Acetivibrio clariflavus;Polymyxin B
Acetivibrio clariflavus;Temocillin
Acetivibrio ethanolgignens;Aztreonam
Acetivibrio ethanolgignens;Colistin
Acetivibrio ethanolgignens;Nalidixic acid
Acetivibrio ethanolgignens;Polymyxin B
Acetivibrio ethanolgignens;Temocillin
Acetivibrio mesophilus;Aztreonam
Acetivibrio mesophilus;Colistin
Acetivibrio mesophilus;Nalidixic acid
Acetivibrio mesophilus;Polymyxin B
Acetivibrio mesophilus;Temocillin
Acetivibrio multivorans;Aztreonam
Acetivibrio multivorans;Colistin
Acetivibrio multivorans;Nalidixic acid
Acetivibrio multivorans;Polymyxin B
Acetivibrio multivorans;Temocillin
Acetivibrio saccincola;Aztreonam
Acetivibrio saccincola;Colistin
Acetivibrio saccincola;Nalidixic acid
Acetivibrio saccincola;Polymyxin B
Acetivibrio saccincola;Temocillin
Acetivibrio straminisolvens;Aztreonam
Acetivibrio straminisolvens;Colistin
Acetivibrio straminisolvens;Nalidixic acid
Acetivibrio straminisolvens;Polymyxin B
Acetivibrio straminisolvens;Temocillin
Acetivibrio thermocellus;Aztreonam
Acetivibrio thermocellus;Colistin
Acetivibrio thermocellus;Nalidixic acid
Acetivibrio thermocellus;Polymyxin B
Acetivibrio thermocellus;Temocillin
Acetivibrionaceae;Aztreonam
Acetivibrionaceae;Colistin
Acetivibrionaceae;Nalidixic acid
Acetivibrionaceae;Polymyxin B
Acetivibrionaceae;Temocillin
Acetivibrionales;Aztreonam
Acetivibrionales;Colistin
Acetivibrionales;Nalidixic acid
Acetivibrionales;Polymyxin B
Acetivibrionales;Temocillin
Acetoanaerobium;Aztreonam
Acetoanaerobium;Colistin
Acetoanaerobium;Nalidixic acid
Acetoanaerobium;Polymyxin B
Acetoanaerobium;Temocillin
Acetoanaerobium noterae;Aztreonam
Acetoanaerobium noterae;Colistin
Acetoanaerobium noterae;Nalidixic acid
Acetoanaerobium noterae;Polymyxin B
Acetoanaerobium noterae;Temocillin
Acetoanaerobium pronyense;Aztreonam
Acetoanaerobium pronyense;Colistin
Acetoanaerobium pronyense;Nalidixic acid
Acetoanaerobium pronyense;Polymyxin B
Acetoanaerobium pronyense;Temocillin
Acetoanaerobium sticklandii;Aztreonam
Acetoanaerobium sticklandii;Colistin
Acetoanaerobium sticklandii;Nalidixic acid
Acetoanaerobium sticklandii;Polymyxin B
Acetoanaerobium sticklandii;Temocillin
